source_ip_address,source_port_number,destination_ip_address,destination_port_number,window_size,is_cwr,transport_protocol,is_ece,sequence_number,destination_mac_address,network_protocol,is_syn,is_urg,is_psh,is_ack,source_mac_address,acknowledge_number,ip_identifier,is_rst,ttl,total_ip_packet_length,is_fin,attack_flag,attack_step,attack_name
74.125.204.188,5228,10.71.65.58,34194,265,0,TCP,0,3103656342,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3893316199,61974,0,117,389,0,0,benign,benign
10.71.65.58,34194,74.125.204.188,5228,495,0,TCP,0,3893316199,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,3103656679,7295,0,64,52,0,0,benign,benign
74.125.204.188,5228,10.71.65.58,34194,265,0,TCP,0,3103656679,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3893316199,61975,0,117,389,0,0,benign,benign
10.71.65.58,34194,74.125.204.188,5228,493,0,TCP,0,3893316199,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,3103657016,7296,0,64,52,0,0,benign,benign
10.71.65.58,42090,142.250.198.14,443,501,0,TCP,0,625898456,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1273079960,6695,0,64,173,0,0,benign,benign
10.71.65.58,42090,142.250.198.14,443,501,0,TCP,0,625898577,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1273079960,6696,0,64,1054,0,0,benign,benign
142.250.198.14,443,10.71.65.58,42090,299,0,TCP,0,1273079960,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,625898577,60014,0,54,52,0,0,benign,benign
142.250.198.14,443,10.71.65.58,42090,310,0,TCP,0,1273079960,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,625899579,60015,0,54,52,0,0,benign,benign
142.250.198.14,443,10.71.65.58,42090,310,0,TCP,0,1273079960,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,625899579,60016,0,54,122,0,0,benign,benign
142.250.198.14,443,10.71.65.58,42090,310,0,TCP,0,1273080030,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,625899579,60017,0,54,1290,0,0,benign,benign
142.250.198.14,443,10.71.65.58,42090,310,0,TCP,0,1273081268,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,625899579,60018,0,54,781,0,0,benign,benign
10.71.65.58,42090,142.250.198.14,443,501,0,TCP,0,625899579,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,1273081997,6697,0,64,52,0,0,benign,benign
142.250.198.14,443,10.71.65.58,42090,310,0,TCP,0,1273081997,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,625899579,60019,0,54,160,0,0,benign,benign
142.250.198.14,443,10.71.65.58,42090,310,0,TCP,0,1273082105,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,625899579,60020,0,54,91,0,0,benign,benign
10.71.65.58,42090,142.250.198.14,443,501,0,TCP,0,625899579,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,1273082144,6698,0,64,52,0,0,benign,benign
10.71.65.58,42090,142.250.198.14,443,501,0,TCP,0,625899579,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1273082144,6699,0,64,87,0,0,benign,benign
10.71.65.58,42090,142.250.198.14,443,501,0,TCP,0,625899614,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1273082144,6700,0,64,91,0,0,benign,benign
142.250.198.14,443,10.71.65.58,42090,310,0,TCP,0,1273082105,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,625899579,60021,0,54,91,0,0,benign,benign
10.71.65.58,42090,142.250.198.14,443,501,0,TCP,0,625899653,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,1273082144,6701,0,64,64,0,0,benign,benign
142.250.198.14,443,10.71.65.58,42090,310,0,TCP,0,1273082144,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,625899614,60022,0,54,52,0,0,benign,benign
142.250.198.14,443,10.71.65.58,42090,310,0,TCP,0,1273082144,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,625899653,60023,0,54,52,0,0,benign,benign
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,24361,0,128,172,0,0,benign,benign
10.71.65.40,138,10.71.255.255,138,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4b:9a:f1,-1,47444,0,128,229,0,0,benign,benign
10.71.65.43,53067,255.255.255.255,8610,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,d4:d8:53:22:44:53,-1,48468,0,128,44,0,0,benign,benign
10.71.65.43,53067,255.255.255.255,8610,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,d4:d8:53:22:44:53,-1,48469,0,128,44,0,0,benign,benign
10.71.65.58,52894,10.1.5.45,53,-1,0,UDP,0,-1,00:00:0c:07:ac:46,IP,0,0,0,0,f8:b5:4d:f5:9d:30,-1,22336,0,64,86,0,0,benign,benign
10.1.5.45,53,10.71.65.58,52894,-1,0,UDP,0,-1,f8:b5:4d:f5:9d:30,IP,0,0,0,0,98:a2:c0:37:6b:1f,-1,46020,0,62,422,0,0,benign,benign
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,24362,0,128,172,0,0,benign,benign
10.71.65.38,65108,255.255.255.255,1947,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,78:af:08:ba:f5:4f,-1,3540,0,128,68,0,0,benign,benign
10.71.65.38,65109,10.71.255.255,1947,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,78:af:08:ba:f5:4f,-1,7683,0,128,68,0,0,benign,benign
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,24363,0,128,172,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57298,318,0,TCP,0,2296713988,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3968911935,49989,0,118,216,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57298,318,0,TCP,0,2296714152,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3968911935,49990,0,118,83,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57298,318,0,TCP,0,2296714183,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3968911935,49991,0,118,91,0,0,benign,benign
10.71.65.58,57298,172.217.27.42,443,501,0,TCP,0,3968911935,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2296714222,7517,0,64,52,0,0,benign,benign
10.71.65.58,57298,172.217.27.42,443,501,0,TCP,0,3968911935,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2296714222,7518,0,64,87,0,0,benign,benign
10.71.65.58,57298,172.217.27.42,443,501,0,TCP,0,3968911970,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2296714222,7519,0,64,91,0,0,benign,benign
10.71.65.58,57290,172.217.27.42,443,501,0,TCP,0,3012134437,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2734322228,20168,0,64,281,0,0,benign,benign
10.71.65.58,57290,172.217.27.42,443,501,0,TCP,0,3012134666,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2734322228,20169,0,64,91,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57298,318,0,TCP,0,2296714222,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3968911970,49992,0,118,52,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57298,318,0,TCP,0,2296714222,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3968912009,49993,0,118,52,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57290,292,0,TCP,0,2734322228,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3012134666,9987,0,118,52,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57290,292,0,TCP,0,2734322228,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3012134705,9988,0,118,52,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57290,292,0,TCP,0,2734322228,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3012134705,9989,0,118,91,0,0,benign,benign
10.71.65.58,57290,172.217.27.42,443,501,0,TCP,0,3012134705,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2734322267,20170,0,64,52,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57290,292,0,TCP,0,2734322267,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3012134705,9990,0,118,121,0,0,benign,benign
10.71.65.58,57290,172.217.27.42,443,501,0,TCP,0,3012134705,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2734322336,20171,0,64,52,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57290,292,0,TCP,0,2734322336,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3012134705,9991,0,118,83,0,0,benign,benign
10.71.65.58,57290,172.217.27.42,443,501,0,TCP,0,3012134705,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2734322367,20172,0,64,52,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57290,292,0,TCP,0,2734322367,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3012134705,9992,0,118,91,0,0,benign,benign
10.71.65.58,57290,172.217.27.42,443,501,0,TCP,0,3012134705,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2734322406,20173,0,64,52,0,0,benign,benign
10.71.65.58,57290,172.217.27.42,443,501,0,TCP,0,3012134705,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2734322406,20174,0,64,91,0,0,benign,benign
10.71.65.58,57298,172.217.27.42,443,501,0,TCP,0,3968912009,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,2296714222,7520,0,64,519,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57298,328,0,TCP,0,2296714222,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3968912476,49994,0,118,52,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57290,292,0,TCP,0,2734322406,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3012134744,9993,0,118,52,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57298,328,0,TCP,0,2296714222,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3968912476,49995,0,118,119,0,0,benign,benign
172.217.27.42,443,10.71.65.58,57298,328,0,TCP,0,2296714289,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3968912476,49996,0,118,101,0,0,benign,benign
10.71.65.58,57298,172.217.27.42,443,501,0,TCP,0,3968912476,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,2296714338,7521,0,64,52,0,0,benign,benign
10.71.65.58,55192,142.250.196.110,443,501,0,TCP,0,3595427331,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,16168867,60445,0,64,3216,0,0,benign,benign
10.71.65.58,55192,142.250.196.110,443,501,0,TCP,0,3595430495,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,16168867,60448,0,64,215,0,0,benign,benign
142.250.196.110,443,10.71.65.58,55192,474,0,TCP,0,16168867,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3595428569,48786,0,118,52,0,0,benign,benign
142.250.196.110,443,10.71.65.58,55192,474,0,TCP,0,16168867,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3595429807,48787,0,118,52,0,0,benign,benign
142.250.196.110,443,10.71.65.58,55192,474,0,TCP,0,16168867,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3595430495,48788,0,118,52,0,0,benign,benign
142.250.196.110,443,10.71.65.58,55192,474,0,TCP,0,16168867,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3595430658,48789,0,118,52,0,0,benign,benign
142.250.196.110,443,10.71.65.58,55192,474,0,TCP,0,16168867,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,3595430658,48790,0,118,91,0,0,benign,benign
10.71.65.58,55192,142.250.196.110,443,501,0,TCP,0,3595430658,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,16168906,60449,0,64,52,0,0,benign,benign
