hostname,timestamp,number_of_active_tcp_open,cpu_utilization_on_user_mode,sleeping_uninterruptible,number_of_zombie_processes,total_free_memory_megabytes,free_swap_space_megabytes,cpu_utilization_on_interrupt_handling,kernel_malloc,total_memory_megabytes,cpu_waiting_time_percentage,number_of_received_tcp_segments,write_request_throughput,number_of_transmitted_udp_datagrams,cpu_running_time_on_user_mode,filesystem_metadata,number_of_open_processes,number_of_interrupt,number_of_passive_tcp_open,number_of_running_threads,number_of_transmitted_icmp_datagrams,page_cache_megabytes,number_of_received_udp_datagrams,number_of_context_switching,number_of_exit_processes,cpu_load_average_per_5_minutes,cpu_utilization_on_kernel_mode,maximum_vm_space_megabytes,disk_busy_time,clone_system_call,total_swap_space_megabytes,read_request_throughput,cpu_load_average_per_15_minutes,number_of_received_icmp_datagrams,cpu_stolen_time_percentage,cpu_running_time_on_system_mode,current_vm_space_megabytes,number_of_retransmission,cpu_load_average_per_minute,cpu_idle_time_percentage,number_of_transmitted_tcp_segments,attack_flag,attack_step,attack_name
att,1716969218,-1,57,-1,0,244.5,2000.0,1,306.7,7500.0,1,15993,87042,16,0.02,170.6,4,32.568,-1,-1,-1,3500.0,14,128.553,-1,0.69,8,5700.0,2,-1,2000.0,57778,0.55,-1,-1,0.0,10400.0,-1,1.23,733,13197,0,benign,benign
att,1716969229,-1,57,-1,0,242.2,2000.0,1,306.5,7500.0,1,15995,87193,17,0.02,170.6,5,32.733000000000004,-1,-1,-1,3500.0,14,129.148,-1,0.67,8,5700.0,2,-1,2000.0,57778,0.55,-1,-1,0.0,10500.0,-1,1.04,733,13199,0,benign,benign
att,1716969240,-1,57,-1,0,290.2,2000.0,1,306.6,7500.0,1,15997,87301,18,0.02,170.7,4,32.898,-1,-1,-1,3500.0,14,129.75,-1,0.64,8,5700.0,2,-1,2000.0,57778,0.54,-1,-1,0.0,10400.0,-1,0.88,733,13201,0,benign,benign
att,1716969251,-1,57,-1,0,280.8,2000.0,1,306.6,7500.0,1,15999,87370,19,0.02,170.7,4,33.062,-1,-1,-1,3500.0,14,130.348,-1,0.61,8,5700.0,2,-1,2000.0,57778,0.53,-1,-1,0.0,10400.0,-1,0.68,734,13203,0,benign,benign
att,1716969262,-1,56,-1,0,293.0,2000.0,1,306.6,7500.0,1,16001,87421,20,0.02,170.7,4,33.226,-1,-1,-1,3500.0,14,130.941,-1,0.59,8,5700.0,2,-1,2000.0,57778,0.53,-1,-1,0.0,10400.0,-1,0.58,734,13205,0,benign,benign
att,1716969273,-1,56,-1,0,290.6,2000.0,1,306.6,7500.0,1,16003,87506,21,0.02,170.8,4,33.385,-1,-1,-1,3500.0,14,131.528,-1,0.6,8,5700.0,2,-1,2000.0,57778,0.53,-1,-1,0.0,10400.0,-1,0.64,734,13207,0,benign,benign
att,1716969284,-1,56,-1,0,295.3,2000.0,1,306.3,7500.0,1,17007,87606,23,0.02,170.8,4,33.563,-1,-1,-1,3500.0,15,132.187,-1,0.58,8,5700.0,2,-1,2000.0,57778,0.53,-1,-1,0.0,10400.0,-1,0.54,734,13209,0,benign,benign
att,1716969295,-1,56,-1,0,299.7,2000.0,1,306.3,7500.0,1,17009,87645,24,0.02,170.8,4,33.718,-1,-1,-1,3500.0,15,132.755,-1,0.58,8,5700.0,2,-1,2000.0,57778,0.53,-1,-1,0.0,10400.0,-1,0.54,734,13211,0,benign,benign
att,1716969306,-1,56,-1,0,296.3,2000.0,1,306.3,7500.0,1,17011,87753,25,0.02,170.9,4,33.872,-1,-1,-1,3500.0,15,133.309,-1,0.55,8,5700.0,2,-1,2000.0,57778,0.52,-1,-1,0.01,10400.0,-1,0.42,734,13213,0,benign,benign
att,1716969317,-1,56,-1,0,302.5,2000.0,1,306.5,7500.0,1,17013,87847,26,0.02,170.9,4,34.032000000000004,-1,-1,-1,3400.0,15,133.893,-1,0.53,8,5700.0,2,-1,2000.0,57778,0.51,-1,-1,0.01,10200.0,-1,0.35,734,13215,0,benign,benign
att,1716969328,-1,56,-1,0,300.9,2000.0,1,306.9,7500.0,1,17015,87905,27,0.02,170.9,4,34.197,-1,-1,-1,3500.0,15,134.497,-1,0.52,8,5700.0,2,-1,2000.0,57778,0.51,-1,-1,0.01,10400.0,-1,0.3,735,13217,0,benign,benign
att,1716969339,-1,56,-1,0,282.7,2000.0,1,307.2,7500.0,1,17017,87995,28,0.02,171.0,4,34.357,-1,-1,-1,3500.0,15,135.078,-1,0.5,8,5700.0,2,-1,2000.0,57778,0.5,-1,-1,0.01,10400.0,-1,0.25,735,13219,0,benign,benign
att,1716969350,-1,55,-1,0,299.2,2000.0,1,307.5,7500.0,1,17019,88058,29,0.02,171.0,4,34.514,-1,-1,-1,3500.0,15,135.645,-1,0.48,8,5700.0,2,-1,2000.0,57778,0.49,-1,-1,0.01,10400.0,-1,0.21,735,13221,0,benign,benign
att,1716969361,-1,55,-1,0,293.4,2000.0,1,307.6,7500.0,1,17021,88140,30,0.02,171.1,4,34.652,-1,-1,-1,3500.0,15,136.12800000000001,-1,0.46,8,5700.0,2,-1,2000.0,57778,0.48,-1,-1,0.01,10400.0,-1,0.16,735,13223,0,benign,benign
att,1716969372,-1,55,-1,0,289.7,2000.0,1,307.6,7500.0,1,17023,88196,31,0.02,171.1,4,34.793,-1,-1,-1,3500.0,15,136.621,-1,0.46,8,5700.0,2,-1,2000.0,57778,0.48,-1,-1,0.01,10400.0,-1,0.21,735,13225,0,benign,benign
att,1716969218,-1,57,-1,0,244.5,2000.0,1,306.7,7500.0,1,15993,87042,16,0.02,170.6,4,32.568,-1,-1,-1,3500.0,14,128.553,-1,0.69,8,5700.0,2,-1,2000.0,57778,0.55,-1,-1,0.0,10400.0,-1,1.23,733,13197,0,benign,benign
att,1716969229,-1,57,-1,0,242.2,2000.0,1,306.5,7500.0,1,15995,87193,17,0.02,170.6,5,32.733000000000004,-1,-1,-1,3500.0,14,129.148,-1,0.67,8,5700.0,2,-1,2000.0,57778,0.55,-1,-1,0.0,10500.0,-1,1.04,733,13199,0,benign,benign
att,1716969240,-1,57,-1,0,290.2,2000.0,1,306.6,7500.0,1,15997,87301,18,0.02,170.7,4,32.898,-1,-1,-1,3500.0,14,129.75,-1,0.64,8,5700.0,2,-1,2000.0,57778,0.54,-1,-1,0.0,10400.0,-1,0.88,733,13201,0,benign,benign
