window_start,window_end,protocol,src_ip_addr,src_port,dst_ip_addr,dst_port,forward_iat_total,backward_iat_std,backward_iat_max,total_fhlen,total_bhlen,backward_iat_min,forward_iat_min,fpkts_per_second,flow_iat_min,forward_packet_length_mean,forward_iat_std,flow_iat_total,flow_syn,flow_fin,forward_iat_max,flow_iat_max,forward_packet_length_min,total_backward_packets,flow_iat_mean,flow_ece,flow_protocol,flow_iat_std,bpkts_per_second,backward_packet_length_mean,backward_iat_mean,total_length_of_forward_packets,flow_cwr,flow_packets_per_second,forward_iat_mean,flow_urg,total_length_of_backward_packets,flow_rst,total_forward_packets,forward_packet_length_max,flow_ack,forward_packet_length_std,backward_iat_total,backward_packet_length_max,flow_psh,backward_packet_length_std,backward_packet_length_min,attack_flag,attack_step,attack_name
1716971325.443411,1716971335.443411,6,74.125.204.188,5228,10.71.65.58,4194,0.064624,-4,-4,0,216,-4,0.064624,0.8,0.064624,1612.0,0.04,0.064624,0,0,0.064624,0.064624,1612,0,0.04,0,24,0.04,0.0,0,-4,3224,0,0.8,0.04,0,0,0,8,1612,8,0.0,0,-4,8,-4,-4,0,-,
1716971325.443411,1716971335.443411,6,10.71.65.58,4194,74.125.204.188,5228,0.064572,-4,-4,0,216,-4,0.064572,0.8,0.064572,264.0,0.04,0.064572,0,0,0.064572,0.064572,264,0,0.04,0,24,0.04,0.0,0,-4,528,0,0.8,0.04,0,0,0,8,264,8,0.0,0,-4,0,-4,-4,0,-,
1716971325.443411,1716971335.443411,6,10.71.65.58,2090,142.250.198.14,443,7.167812,-4,-4,0,768,-4,0.000116,2.8,0.000116,954.8571428571429,0.64,7.167812,0,0,1.488828,1.488828,264,0,1.04,0,24,0.64,0.0,0,-4,6684,0,2.8,1.04,0,0,0,28,4272,28,1362.96,0,-4,16,-4,-4,0,-,
1716971325.443411,1716971335.443411,6,142.250.198.14,443,10.71.65.58,2090,10.604404,-4,-4,0,1080,-4,0.000000,4.0,0.000000,1153.2,0.52,10.604404,0,0,1.414960,1.414960,264,0,1.08,0,24,0.52,0.0,0,-4,11532,0,4.0,1.08,0,0,0,40,5216,40,1594.76,0,-4,24,-4,-4,0,-,
1716971325.443411,1716971335.443411,17,10.71.64.106,4988,10.71.255.255,1007,41.780304,-4,-4,0,324,-4,13.926320,1.2,13.926320,744.0,11.36,41.780304,0,0,27.853984,27.853984,744,0,13.92,0,68,11.36,0.0,0,-4,2232,0,1.2,13.92,0,0,0,12,744,0,0.0,0,-4,0,-4,-4,0,-,
1716971325.443411,1716971335.443411,17,10.71.65.40,138,10.71.255.255,138,0,-4,-4,0,0,-4,-4,0.0,-4,0,-4,0,0,0,-4,-4,-4,0,-4,0,68,-4,0.0,0,-4,0,0,0.0,-4,0,0,0,0,-4,0,-4,0,-4,0,-4,-4,0,-,
1716971325.443411,1716971335.443411,17,10.71.65.43,3067,255.255.255.255,8610,0,-4,-4,0,108,-4,399996,0.4,399996,232.0,0.0,0,0,0,-4,-4,232,0,0.0,0,68,0.0,0.0,0,-4,232,0,0.4,0.0,0,0,0,4,232,0,0.0,0,-4,0,-4,-4,0,-,
1716971325.443411,1716971335.443411,17,10.71.65.58,2894,10.1.5.45,53,0,-4,-4,0,0,-4,-4,0.0,-4,0,-4,0,0,0,-4,-4,-4,0,-4,0,68,-4,0.0,0,-4,0,0,0.0,-4,0,0,0,0,-4,0,-4,0,-4,0,-4,-4,0,-,
1716971325.443411,1716971335.443411,17,10.1.5.45,53,10.71.65.58,2894,0,-4,-4,0,0,-4,-4,0.0,-4,0,-4,0,0,0,-4,-4,-4,0,-4,0,68,-4,0.0,0,-4,0,0,0.0,-4,0,0,0,0,-4,0,-4,0,-4,0,-4,-4,0,-,
1716971325.443411,1716971335.443411,17,10.71.65.38,5108,255.255.255.255,1947,0,-4,-4,0,0,-4,-4,0.0,-4,0,-4,0,0,0,-4,-4,-4,0,-4,0,68,-4,0.0,0,-4,0,0,0.0,-4,0,0,0,0,-4,0,-4,0,-4,0,-4,-4,0,-,
1716971325.443411,1716971335.443411,17,10.71.65.38,5109,10.71.255.255,1947,0,-4,-4,0,0,-4,-4,0.0,-4,0,-4,0,0,0,-4,-4,-4,0,-4,0,68,-4,0.0,0,-4,0,0,0.0,-4,0,0,0,0,-4,0,-4,0,-4,0,-4,-4,0,-,
1716971325.443411,1716971335.443411,6,172.217.27.42,443,10.71.65.58,7298,0,-4,-4,0,0,-4,-4,0.0,-4,0,-4,0,0,0,-4,-4,-4,0,-4,0,24,-4,0.0,0,-4,0,0,0.0,-4,0,0,0,0,-4,0,-4,0,-4,0,-4,-4,0,-,
1716971325.443411,1716971335.443411,6,10.71.65.58,7298,172.217.27.42,443,0,-4,-4,0,0,-4,-4,0.0,-4,0,-4,0,0,0,-4,-4,-4,0,-4,0,24,-4,0.0,0,-4,0,0,0.0,-4,0,0,0,0,-4,0,-4,0,-4,0,-4,-4,0,-,
