hostname,window_start,window_end,mean_number_of_open_processes,max_total_swap_space_megabytes,max_total_memory_megabytes,max_number_of_zombie_processes,max_cpu_idle_time_percentage,mean_total_free_memory_megabytes,mean_number_of_transmitted_udp_datagrams,mean_sleeping_uninterruptible,min_total_memory_megabytes,max_number_of_exit_processes,min_total_free_memory_megabytes,mean_cpu_utilization_on_user_mode,mean_write_request_throughput,max_cpu_utilization_on_kernel_mode,min_cpu_running_time_on_user_mode,min_number_of_received_udp_datagrams,min_number_of_open_processes,max_number_of_transmitted_icmp_datagrams,mean_read_request_throughput,min_cpu_running_time_on_system_mode,max_kernel_malloc,max_write_request_throughput,min_cpu_utilization_on_kernel_mode,mean_total_memory_megabytes,min_cpu_idle_time_percentage,min_number_of_transmitted_icmp_datagrams,min_read_request_throughput,max_cpu_running_time_on_system_mode,max_number_of_transmitted_tcp_segments,max_number_of_received_udp_datagrams,mean_cpu_running_time_on_user_mode,mean_number_of_received_icmp_datagrams,max_number_of_running_threads,mean_total_swap_space_megabytes,mean_number_of_exit_processes,min_cpu_utilization_on_user_mode,mean_number_of_transmitted_icmp_datagrams,max_number_of_received_tcp_segments,max_number_of_open_processes,mean_number_of_received_tcp_segments,mean_kernel_malloc,max_number_of_transmitted_udp_datagrams,max_cpu_running_time_on_user_mode,min_number_of_transmitted_tcp_segments,max_read_request_throughput,mean_number_of_transmitted_tcp_segments,min_kernel_malloc,mean_number_of_received_udp_datagrams,min_number_of_exit_processes,min_number_of_transmitted_udp_datagrams,min_number_of_received_tcp_segments,max_sleeping_uninterruptible,min_number_of_received_icmp_datagrams,mean_cpu_idle_time_percentage,mean_number_of_running_threads,min_number_of_running_threads,mean_cpu_running_time_on_system_mode,min_sleeping_uninterruptible,min_total_swap_space_megabytes,min_number_of_zombie_processes,max_total_free_memory_megabytes,mean_cpu_utilization_on_kernel_mode,max_cpu_utilization_on_user_mode,mean_number_of_zombie_processes,max_number_of_received_icmp_datagrams,min_write_request_throughput,attack_flag,attack_step,attack_name
att,1716966264,1716966274.0,12.0,6000.0,22500.0,0,2160,750.5999999999999,42.0,-3.0,22500.0,-3,750.5999999999999,210.0,127122.0,24,0.03,42,12,-3,140712.0,0.0,906.5999999999999,127122,24,22500.0,2160,-3,140712,0.0,52218,42,0.03,-3.0,-3,6000.0,-3.0,210,-3.0,66300,12,66300.0,906.5999999999999,42,0.03,52218,140712,52218.0,906.5999999999999,42.0,-3,42,66300,-3,-3,2160.0,-3.0,-3,0.0,-3,6000.0,0,750.5999999999999,24.0,210,0.0,-3,127122,0,-,
att,1716966364.0,1716966374.0,12.0,6000.0,22500.0,0,2169,531.0,81.0,-3.0,22500.0,-3,531.0,201.0,130035.0,24,0.06,54,12,-3,140763.0,0.0,908.4000000000001,130035,24,22500.0,2169,-3,140763,0.0,52272,54,0.06,-3.0,-3,6000.0,-3.0,201,-3.0,66354,12,66354.0,908.4000000000001,81,0.06,52272,140763,52272.0,908.4000000000001,54.0,-3,81,66354,-3,-3,2169.0,-3.0,-3,0.0,-3,6000.0,0,531.0,24.0,201,0.0,-3,130035,0,-,
att,1716966264,1716966274.0,8.0,4000.0,15000.0,0,1440,500.4,28.0,-2.0,15000.0,-2,500.4,140.0,84748.0,16,0.02,28,8,-2,93808.0,0.0,604.4,84748,16,15000.0,1440,-2,93808,0.0,34812,28,0.02,-2.0,-2,4000.0,-2.0,140,-2.0,44200,8,44200.0,604.4,28,0.02,34812,93808,34812.0,604.4,28.0,-2,28,44200,-2,-2,1440.0,-2.0,-2,0.0,-2,4000.0,0,500.4,16.0,140,0.0,-2,84748,0,-,
att,1716966364.0,1716966374.0,8.0,4000.0,15000.0,0,1446,354.0,54.0,-2.0,15000.0,-2,354.0,134.0,86690.0,16,0.04,36,8,-2,93842.0,0.0,605.6,86690,16,15000.0,1446,-2,93842,0.0,34848,36,0.04,-2.0,-2,4000.0,-2.0,134,-2.0,44236,8,44236.0,605.6,54,0.04,34848,93842,34848.0,605.6,36.0,-2,54,44236,-2,-2,1446.0,-2.0,-2,0.0,-2,4000.0,0,354.0,16.0,134,0.0,-2,86690,0,-,
att,1716966264,1716966274.0,4.0,2000.0,7500.0,0,720,250.19999999999996,14.0,-1.0,7500.0,-1,250.2,70.0,42374.0,8,0.01,14,4,-1,46904.0,0.0,302.2,42374,8,7500.0,720,-1,46904,0.0,17406,14,0.01,-1.0,-1,2000.0,-1.0,70,-1.0,22100,4,22100.0,302.2,14,0.01,17406,46904,17406.0,302.2,14.0,-1,14,22100,-1,-1,720.0,-1.0,-1,0.0,-1,2000.0,0,250.2,8.0,70,0.0,-1,42374,0,-,
att,1716966364.0,1716966374.0,4.0,2000.0,7500.0,0,723,177.0,27.0,-1.0,7500.0,-1,177.0,67.0,43345.0,8,0.02,18,4,-1,46921.0,0.0,302.8,43345,8,7500.0,723,-1,46921,0.0,17424,18,0.02,-1.0,-1,2000.0,-1.0,67,-1.0,22118,4,22118.0,302.8,27,0.02,17424,46921,17424.0,302.8,18.0,-1,27,22118,-1,-1,723.0,-1.0,-1,0.0,-1,2000.0,0,177.0,8.0,67,0.0,-1,43345,0,-,
