source_ip_address,source_port_number,destination_ip_address,destination_port_number,window_size,is_cwr,transport_protocol,is_ece,sequence_number,destination_mac_address,network_protocol,is_syn,is_urg,is_psh,is_ack,source_mac_address,acknowledge_number,ip_identifier,is_rst,ttl,total_ip_packet_length,is_fin,attack_flag,attack_step,attack_name
10.71.65.58,40668,142.250.207.110,443,501,0,TCP,0,282438604,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,3220272808,6857,0,64,3214,0,0,benign,normal
10.71.65.58,40668,142.250.207.110,443,501,0,TCP,0,282441766,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,3220272808,6860,0,64,214,0,0,benign,normal
142.250.207.110,443,10.71.65.58,40668,474,0,TCP,0,3220272808,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,282439842,7013,0,118,52,0,0,benign,normal
142.250.207.110,443,10.71.65.58,40668,474,0,TCP,0,3220272808,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,282441080,7014,0,118,52,0,0,benign,normal
142.250.207.110,443,10.71.65.58,40668,474,0,TCP,0,3220272808,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,282441766,7015,0,118,52,0,0,benign,normal
142.250.207.110,443,10.71.65.58,40668,474,0,TCP,0,3220272808,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,282441928,7016,0,118,52,0,0,benign,normal
142.250.207.110,443,10.71.65.58,40668,474,0,TCP,0,3220272808,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,282441928,7017,0,118,91,0,0,benign,normal
10.71.65.58,40668,142.250.207.110,443,501,0,TCP,0,282441928,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,3220272847,6861,0,64,52,0,0,benign,normal
142.250.207.110,443,10.71.65.58,40668,474,0,TCP,0,3220272847,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,282441928,7018,0,118,118,0,0,benign,normal
10.71.65.58,40668,142.250.207.110,443,501,0,TCP,0,282441928,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,3220272913,6862,0,64,52,0,0,benign,normal
142.250.207.110,443,10.71.65.58,40668,474,0,TCP,0,3220272913,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,282441928,7019,0,118,318,0,0,benign,normal
10.71.65.58,40668,142.250.207.110,443,499,0,TCP,0,282441928,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,3220273179,6863,0,64,52,0,0,benign,normal
142.250.207.110,443,10.71.65.58,40668,474,0,TCP,0,3220273179,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,282441928,7020,0,118,131,0,0,benign,normal
10.71.65.58,40668,142.250.207.110,443,499,0,TCP,0,282441928,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,3220273258,6864,0,64,52,0,0,benign,normal
142.250.207.110,443,10.71.65.58,40668,474,0,TCP,0,3220273258,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,282441928,7021,0,118,91,0,0,benign,normal
10.71.65.58,40668,142.250.207.110,443,499,0,TCP,0,282441928,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,3220273297,6865,0,64,52,0,0,benign,normal
10.71.65.58,40668,142.250.207.110,443,501,0,TCP,0,282441928,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,3220273297,6866,0,64,87,0,0,benign,normal
10.71.65.58,40668,142.250.207.110,443,501,0,TCP,0,282441963,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,3220273297,6867,0,64,91,0,0,benign,normal
