window_start,window_end,protocol,src_ip_addr,src_port,dst_ip_addr,dst_port,forward_iat_total,backward_iat_std,backward_iat_max,total_fhlen,total_bhlen,backward_iat_min,forward_iat_min,fpkts_per_second,flow_iat_min,forward_packet_length_mean,forward_iat_std,flow_iat_total,flow_syn,flow_fin,forward_iat_max,flow_iat_max,forward_packet_length_min,total_backward_packets,flow_iat_mean,flow_ece,flow_protocol,flow_iat_std,bpkts_per_second,backward_packet_length_mean,backward_iat_mean,total_length_of_forward_packets,flow_cwr,flow_packets_per_second,forward_iat_mean,flow_urg,total_length_of_backward_packets,flow_rst,total_forward_packets,forward_packet_length_max,flow_ack,forward_packet_length_std,backward_iat_total,backward_packet_length_max,flow_psh,backward_packet_length_std,backward_packet_length_min,attack_flag,attack_step,attack_name
1716966264.654355,1716966274.654355,6,10.71.65.58,668,142.250.207.110,443,4.278462,-3,-3,0,729,-3,0.007998,2.7,0.007998,1330.6666666666665,0.30000000000000004,4.278462,0,0,0.674151,0.674151,198,0,0.48,0,18,0.30000000000000004,0.0,0,-3,11976,0,2.7,0.48,0,0,0,27,9684,27,2957.07,0,-3,12,-3,-3,0,-,
1716966264.654355,1716966274.654355,6,142.250.207.110,443,10.71.65.58,668,2.924601,-3,-3,0,810,-3,0.000000,3.0,0.000000,344.70000000000005,0.30000000000000004,2.924601,0,0,0.669963,0.669963,198,0,0.30,0,18,0.30000000000000004,0.0,0,-3,3447,0,3.0,0.30,0,0,0,30,996,30,233.31,0,-3,15,-3,-3,0,-,
1716966264.654355,1716966274.654355,6,10.71.65.58,9818,142.250.66.78,443,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,198.0,0.0,0,0,0,-3,-3,198,0,0.0,0,18,0.0,0.0,0,-3,198,0,0.30000000000000004,0.0,0,0,0,3,198,3,0.0,0,-3,0,-3,-3,0,-,
1716966264.654355,1716966274.654355,6,142.250.66.78,443,10.71.65.58,9818,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,198.0,0.0,0,0,0,-3,-3,198,0,0.0,0,18,0.0,0.0,0,-3,198,0,0.30000000000000004,0.0,0,0,0,3,198,3,0.0,0,-3,0,-3,-3,0,-,
1716966264.654355,1716966274.654355,17,10.71.64.113,5353,224.0.0.251,5353,54.690813,-3,-3,0,486,-3,0.000000,1.7999999999999998,0.000000,227.0,9.09,54.690813,0,0,21.199827,21.199827,225,0,9.12,0,51,9.09,0.0,0,-3,1362,0,1.7999999999999998,9.12,0,0,0,18,228,0,1.41,0,-3,0,-3,-3,0,-,
1716966264.654355,1716966274.654355,6,10.71.65.58,1870,142.250.206.202,443,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,198.0,0.0,0,0,0,-3,-3,198,0,0.0,0,18,0.0,0.0,0,-3,198,0,0.30000000000000004,0.0,0,0,0,3,198,3,0.0,0,-3,0,-3,-3,0,-,
1716966264.654355,1716966274.654355,6,142.250.206.202,443,10.71.65.58,1870,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,198.0,0.0,0,0,0,-3,-3,198,0,0.0,0,18,0.0,0.0,0,-3,198,0,0.30000000000000004,0.0,0,0,0,3,198,3,0.0,0,-3,0,-3,-3,0,-,
1716966264.654355,1716966274.654355,17,10.71.64.106,4988,10.71.255.255,1007,10.753707,-3,-3,0,162,-3,10.753707,0.6000000000000001,10.753707,558.0,5.37,10.753707,0,0,10.753707,10.753707,558,0,5.37,0,51,5.37,0.0,0,-3,1116,0,0.6000000000000001,5.37,0,0,0,6,558,0,0.0,0,-3,0,-3,-3,0,-,
1716966264.654355,1716966274.654355,6,10.71.65.58,6718,108.177.97.188,5228,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,198.0,0.0,0,0,0,-3,-3,198,0,0.0,0,18,0.0,0.0,0,-3,198,0,0.30000000000000004,0.0,0,0,0,3,198,3,0.0,0,-3,0,-3,-3,0,-,
1716966264.654355,1716966274.654355,6,108.177.97.188,5228,10.71.65.58,6718,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,198.0,0.0,0,0,0,-3,-3,198,0,0.0,0,18,0.0,0.0,0,-3,198,0,0.30000000000000004,0.0,0,0,0,3,198,3,0.0,0,-3,0,-3,-3,0,-,
