window_start,window_end,protocol,src_ip_addr,src_port,dst_ip_addr,dst_port,forward_iat_total,backward_iat_std,backward_iat_max,total_fhlen,total_bhlen,backward_iat_min,forward_iat_min,fpkts_per_second,flow_iat_min,forward_packet_length_mean,forward_iat_std,flow_iat_total,flow_syn,flow_fin,forward_iat_max,flow_iat_max,forward_packet_length_min,total_backward_packets,flow_iat_mean,flow_ece,flow_protocol,flow_iat_std,bpkts_per_second,backward_packet_length_mean,backward_iat_mean,total_length_of_forward_packets,flow_cwr,flow_packets_per_second,forward_iat_mean,flow_urg,total_length_of_backward_packets,flow_rst,total_forward_packets,forward_packet_length_max,flow_ack,forward_packet_length_std,backward_iat_total,backward_packet_length_max,flow_psh,backward_packet_length_std,backward_packet_length_min,attack_flag,attack_step,attack_name
1716967992.870368,1716968002.870368,6,10.71.65.58,5784,142.250.204.142,443,1.702041,-3,-3,0,405,-3,0.000036,1.5,0.000036,1866.6000000000001,0.42000000000000004,1.702041,0,0,0.848010,0.848010,198,0,0.33,0,18,0.42000000000000004,0.0,0,-3,9333,0,1.5,0.33,0,0,0,15,7626,15,2887.02,0,-3,12,-3,-3,0,-,
1716967992.870368,1716968002.870368,6,142.250.204.142,443,10.71.65.58,5784,3.477090,-3,-3,0,729,-3,0.000000,2.7,0.000000,762.0,0.36,3.477090,0,0,0.847317,0.847317,198,0,0.39,0,18,0.36,0.0,0,-3,6858,0,2.7,0.39,0,0,0,27,3108,27,895.71,0,-3,12,-3,-3,0,-,
1716967992.870368,1716968002.870368,17,10.71.64.113,5353,224.0.0.251,5353,0.000003,-3,-3,0,162,-3,0.000003,0.6000000000000001,0.000003,226.5,0.0,0.000003,0,0,0.000003,0.000003,225,0,0.00,0,51,0.0,0.0,0,-3,453,0,0.6000000000000001,0.00,0,0,0,6,228,0,1.5,0,-3,0,-3,-3,0,-,
1716967992.870368,1716968002.870368,17,10.71.64.106,4988,10.71.255.255,1007,31.302420,-3,-3,0,243,-3,10.430196,0.8999999999999999,10.430196,558.0,8.52,31.302420,0,0,20.872224,20.872224,558,0,10.44,0,51,8.52,0.0,0,-3,1674,0,0.8999999999999999,10.44,0,0,0,9,558,0,0.0,0,-3,0,-3,-3,0,-,
1716967992.870368,1716968002.870368,17,10.71.65.39,137,10.71.255.255,137,30.397323,-3,-3,0,405,-3,2.456049,1.5,2.456049,276.0,4.86,30.397323,0,0,12.896061,12.896061,276,0,6.09,0,51,4.86,0.0,0,-3,1380,0,1.5,6.09,0,0,0,15,276,0,0.0,0,-3,0,-3,-3,0,-,
1716967992.870368,1716968002.870368,17,10.71.64.122,137,10.71.255.255,137,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,276.0,0.0,0,0,0,-3,-3,276,0,0.0,0,51,0.0,0.0,0,-3,276,0,0.30000000000000004,0.0,0,0,0,3,276,0,0.0,0,-3,0,-3,-3,0,-,
1716967992.870368,1716968002.870368,6,10.71.65.58,1086,142.251.170.188,5228,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,198.0,0.0,0,0,0,-3,-3,198,0,0.0,0,18,0.0,0.0,0,-3,198,0,0.30000000000000004,0.0,0,0,0,3,198,3,0.0,0,-3,0,-3,-3,0,-,
1716967992.870368,1716968002.870368,6,10.71.65.58,4862,142.250.204.142,443,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,198.0,0.0,0,0,0,-3,-3,198,0,0.0,0,18,0.0,0.0,0,-3,198,0,0.30000000000000004,0.0,0,0,0,3,198,3,0.0,0,-3,0,-3,-3,0,-,
1716967992.870368,1716968002.870368,6,142.251.170.188,5228,10.71.65.58,1086,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,198.0,0.0,0,0,0,-3,-3,198,0,0.0,0,18,0.0,0.0,0,-3,198,0,0.30000000000000004,0.0,0,0,0,3,198,3,0.0,0,-3,0,-3,-3,0,-,
1716967992.870368,1716968002.870368,6,142.250.204.142,443,10.71.65.58,4862,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,198.0,0.0,0,0,0,-3,-3,198,0,0.0,0,18,0.0,0.0,0,-3,198,0,0.30000000000000004,0.0,0,0,0,3,198,3,0.0,0,-3,0,-3,-3,0,-,
