source_ip_address,source_port_number,destination_ip_address,destination_port_number,window_size,is_cwr,transport_protocol,is_ece,sequence_number,destination_mac_address,network_protocol,is_syn,is_urg,is_psh,is_ack,source_mac_address,acknowledge_number,ip_identifier,is_rst,ttl,total_ip_packet_length,is_fin,attack_flag,attack_step,attack_name
10.71.65.58,55784,142.250.204.142,443,501,0,TCP,0,538973854,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1649069757,39336,0,64,2528,0,0,benign,normal
10.71.65.58,55784,142.250.204.142,443,501,0,TCP,0,538976330,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1649069757,39338,0,64,255,0,0,benign,normal
10.71.65.58,55784,142.250.204.142,443,501,0,TCP,0,538976533,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1649069757,39339,0,64,115,0,0,benign,normal
142.250.204.142,443,10.71.65.58,55784,489,0,TCP,0,1649069757,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,538975092,7027,0,117,52,0,0,benign,normal
142.250.204.142,443,10.71.65.58,55784,489,0,TCP,0,1649069757,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,538976330,7028,0,117,52,0,0,benign,normal
142.250.204.142,443,10.71.65.58,55784,489,0,TCP,0,1649069757,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,538976533,7029,0,117,52,0,0,benign,normal
142.250.204.142,443,10.71.65.58,55784,489,0,TCP,0,1649069757,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,538976596,7030,0,117,52,0,0,benign,normal
142.250.204.142,443,10.71.65.58,55784,489,0,TCP,0,1649069757,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,538976596,7031,0,117,1022,0,0,benign,normal
142.250.204.142,443,10.71.65.58,55784,489,0,TCP,0,1649070727,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,538976596,7032,0,117,354,0,0,benign,normal
142.250.204.142,443,10.71.65.58,55784,489,0,TCP,0,1649071029,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,538976596,7033,0,117,255,0,0,benign,normal
142.250.204.142,443,10.71.65.58,55784,489,0,TCP,0,1649071232,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,538976596,7034,0,117,269,0,0,benign,normal
10.71.65.58,55784,142.250.204.142,443,501,0,TCP,0,538976596,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,1649071449,39340,0,64,52,0,0,benign,normal
10.71.65.58,55784,142.250.204.142,443,501,0,TCP,0,538976596,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,1649071449,39341,0,64,91,0,0,benign,normal
142.250.204.142,443,10.71.65.58,55784,489,0,TCP,0,1649071449,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,538976635,7035,0,117,52,0,0,benign,normal
10.71.64.113,5353,224.0.0.251,5353,-1,0,UDP,0,-1,01:00:5e:00:00:fb,IP,0,0,0,0,c4:bd:e5:11:c3:53,-1,27041,0,1,62,0,0,benign,normal
10.71.64.113,5353,224.0.0.251,5353,-1,0,UDP,0,-1,01:00:5e:00:00:fb,IP,0,0,0,0,c4:bd:e5:11:c3:53,-1,27042,0,1,61,0,0,benign,normal
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,23396,0,128,172,0,0,benign,normal
10.71.65.39,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4c:3e:b1,-1,23341,0,128,78,0,0,benign,normal
10.71.65.39,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4c:3e:b1,-1,23342,0,128,78,0,0,benign,normal
10.71.65.39,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4c:3e:b1,-1,23343,0,128,78,0,0,benign,normal
10.71.64.122,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,b4:0e:de:90:1f:0a,-1,31676,0,128,78,0,0,benign,normal
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,23397,0,128,172,0,0,benign,normal
10.71.64.122,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,b4:0e:de:90:1f:0a,-1,31677,0,128,78,0,0,benign,normal
10.71.65.39,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4c:3e:b1,-1,23344,0,128,78,0,0,benign,normal
10.71.65.58,51086,142.251.170.188,5228,501,0,TCP,0,2054276483,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,3188967271,30612,0,64,52,0,0,benign,normal
10.71.65.58,34862,142.250.204.142,443,501,0,TCP,0,192113690,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,881049705,45931,0,64,52,0,0,benign,normal
142.251.170.188,5228,10.71.65.58,51086,265,0,TCP,0,3188967271,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,2054276484,44907,0,118,52,0,0,benign,normal
142.250.204.142,443,10.71.65.58,34862,288,0,TCP,0,881049705,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,192113691,26017,0,118,52,0,0,benign,normal
10.71.65.39,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4c:3e:b1,-1,23345,0,128,78,0,0,benign,normal
10.71.65.58,54192,142.250.204.110,443,501,0,TCP,0,2287213607,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,535407073,11485,0,64,728,0,0,benign,normal
10.71.65.58,54192,142.250.204.110,443,501,0,TCP,0,2287214283,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,535407073,11486,0,64,649,0,0,benign,normal
10.71.65.58,54192,142.250.204.110,443,501,0,TCP,0,2287214283,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,535407073,11487,0,64,649,0,0,benign,normal
10.71.65.39,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4c:3e:b1,-1,23346,0,128,78,0,0,benign,normal
10.71.65.58,54192,142.250.204.110,443,501,0,TCP,0,2287213607,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,535407073,11488,0,64,728,0,0,benign,normal
142.250.204.110,443,10.71.65.58,54192,489,0,TCP,0,535407073,f8:b5:4d:f5:9d:30,IP,0,0,1,1,98:a2:c0:37:6b:1f,2287214880,38080,0,118,1048,0,0,benign,normal
10.71.65.58,54192,142.250.204.110,443,494,0,TCP,0,2287214880,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,535408069,11489,0,64,52,0,0,benign,normal
10.71.65.58,54192,142.250.204.110,443,501,0,TCP,0,2287214880,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,535408069,11490,0,64,87,0,0,benign,normal
10.71.65.58,54192,142.250.204.110,443,501,0,TCP,0,2287214915,00:00:0c:07:ac:46,IP,0,0,1,1,f8:b5:4d:f5:9d:30,535408069,11491,0,64,91,0,0,benign,normal
142.250.204.110,443,10.71.65.58,54192,489,0,TCP,0,535408069,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,2287214880,38081,0,118,64,0,0,benign,normal
142.250.204.110,443,10.71.65.58,54192,489,0,TCP,0,535408069,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,2287214915,38082,0,118,52,0,0,benign,normal
142.250.204.110,443,10.71.65.58,54192,489,0,TCP,0,535408069,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,2287214954,38083,0,118,52,0,0,benign,normal
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,23398,0,128,172,0,0,benign,normal
10.71.65.40,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4b:9a:f1,-1,47428,0,128,78,0,0,benign,normal
10.71.64.201,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,f4:ce:23:e8:5a:6c,-1,58147,0,128,78,0,0,benign,normal
10.71.65.40,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4b:9a:f1,-1,47429,0,128,78,0,0,benign,normal
10.71.64.201,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,f4:ce:23:e8:5a:6c,-1,58148,0,128,78,0,0,benign,normal
10.71.65.40,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:4b:9a:f1,-1,47430,0,128,78,0,0,benign,normal
10.71.64.201,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,f4:ce:23:e8:5a:6c,-1,58149,0,128,78,0,0,benign,normal
10.71.64.167,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,c4:bd:e5:10:3f:38,-1,26935,0,128,78,0,0,benign,normal
10.71.64.106,64988,10.71.255.255,51007,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,fc:b3:bc:49:41:de,-1,23399,0,128,172,0,0,benign,normal
10.71.64.167,137,10.71.255.255,137,-1,0,UDP,0,-1,ff:ff:ff:ff:ff:ff,IP,0,0,0,0,c4:bd:e5:10:3f:38,-1,26936,0,128,78,0,0,benign,normal
10.71.65.58,37780,142.250.206.229,443,501,0,TCP,0,3657944565,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,350833594,2131,0,64,52,0,0,benign,normal
10.71.65.58,42876,142.250.204.142,443,501,0,TCP,0,2132090873,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,1900934269,19620,0,64,52,0,0,benign,normal
10.71.65.58,44658,142.250.204.68,443,501,0,TCP,0,2843649185,00:00:0c:07:ac:46,IP,0,0,0,1,f8:b5:4d:f5:9d:30,1959990343,56862,0,64,52,0,0,benign,normal
142.250.206.229,443,10.71.65.58,37780,273,0,TCP,0,350833594,f8:b5:4d:f5:9d:30,IP,0,0,0,1,98:a2:c0:37:6b:1f,3657944566,717,0,118,52,0,0,benign,normal
